Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,Tier 2 & pre-PBS equivalent,Main applicant,Work Permit Holders,"15,720","17,006","17,856","14,682","16,716","18,198","20,186","16,254","18,186","16,685","16,876","12,324","13,253","13,918","15,816","11,914","3,905",698,294,127,94,71,49,27,17,8,10,5,15,1,7,5,5,6,17,13,27,9,7,10,13,6,14,18,23,21,10,10,6,24,31,46,5
Work,Tier 2 & pre-PBS equivalent,Main applicant,Ministers of religion or missionary,189,226,375,160,186,224,255,184,212,177,244,161,167,213,255,128,15,8,4,1,0,3,0,0,0,2,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 2 & pre-PBS equivalent,Main applicant,Other permit free employment - skilled,z,z,z,0,103,201,228,186,217,165,132,40,45,32,18,13,10,3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Dependant,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,25,"2,035","3,887","4,973","4,606","5,348","6,267","7,219","5,770","6,128","4,103","3,289","2,340","2,432","2,694","2,916","2,320","2,817","3,089","3,787","2,836","3,106","3,569","4,096","3,601","3,627","3,699","4,333","3,482","3,231","3,700","4,008","3,299","3,370","3,366","4,559","3,681","3,504"
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Intra Company Transfers Short Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,830,"1,154","1,146","1,256","1,442","1,558","1,320","1,681","1,881","2,019","1,832","2,144","2,213","2,253","2,244","2,242","2,132","2,145","1,887","2,341","2,725","2,178","1,761","2,295","1,932",776,194,47
Work,Tier 2 & pre-PBS equivalent,Dependant,Tier 2 - Intra Company Transfers Long Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"2,201","3,194","2,411","3,021","3,340","3,415","2,611","3,295","3,973","3,904","3,043","3,331","4,288","3,939","3,421","3,909","3,740","3,524","2,920","3,405","4,657","3,954","3,114","3,700","5,641","6,229","5,037","5,791"
Work,Tier 2 & pre-PBS equivalent,Dependant,Work Permit Holders,"10,920","12,555","12,377","9,823","12,058","12,537","13,809","11,115","10,759","7,194","7,137","5,005","5,173","4,988","5,845","6,023","4,447","3,090","2,270","1,674","1,448",771,791,654,543,415,317,273,217,160,107,124,67,56,39,27,15,7,3,4,z,9,8,4,10,7,4,7,1,17,24,19,3
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Charity Workers,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5,281,361,729,482,452,553,706,548,448,468,768,510,439,506,616,427,412,507,681,439,413,558,657,451,413,461,696,429,327,418,579,446,378,384,553,268,339
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Creative and Sporting,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1,779,"1,890","2,078","1,204","1,842","2,329","2,209","1,377","2,620","2,146","2,050","1,202","2,639","2,576","1,997","1,558","2,438","2,410","2,353","1,527","2,275","2,533","2,327","1,371","2,184","1,730","2,053","1,126","1,774","1,999","2,032","1,200","1,792","2,182","1,884","1,135","1,880"
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Government Authorised Exchange,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,98,351,918,365,508,"1,072","1,180",475,626,"1,271","1,219",517,711,"1,882","1,295",688,785,"1,926","1,567",737,867,"2,155","1,757",914,"1,140","2,259","1,900",943,"1,158","2,151","1,927","1,155","1,072","2,274","1,974","1,066","1,233"
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - International Agreement,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,51,117,179,98,124,114,131,84,100,97,157,111,82,112,146,83,108,140,159,83,100,112,165,83,84,127,176,76,87,111,142,73,99,118,142,59,101
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Religious Workers,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,48,260,470,260,295,446,527,282,322,496,514,313,368,503,434,219,515,722,703,277,372,560,636,346,340,500,605,287,341,565,598,309,309,424,572,301,329
Work,Tier 5 & pre-PBS equivalent,Main applicant,Tier 5 - Youth Mobility,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,376,"6,756","5,903","3,779","3,645","7,133","5,681","4,269","3,637","7,203","5,780","3,828","3,841","6,916","5,071","3,746","3,891","5,481","6,350","4,933","4,093","5,017","8,052","5,222","5,234","7,146","7,159","6,015","5,001","6,178","6,757","4,769","4,623","5,996","6,566","4,797","4,234","5,366"
Work,Tier 5 & pre-PBS equivalent,Main applicant,Private servants in Diplomatic Households,45,56,66,69,90,72,94,68,61,50,100,42,44,51,58,38,0,0,1,z,z,z,z,z,z,z,2,z,z,z,z,1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2,z
Work,Tier 5 & pre-PBS equivalent,Main applicant,Religious workers,0,0,1,2,262,541,411,311,296,331,304,202,190,356,281,136,26,39,10,8,3,8,3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 5 & pre-PBS equivalent,Main applicant,Working holidaymakers,"19,511","17,251","11,273","10,388","13,693","14,385","9,162","8,889","13,618","11,357","7,524","6,891","9,898","9,871","8,469","6,224","1,355","1,520","1,168","1,051",320,144,58,27,8,5,2,2,4,1,z,z,z,z,z,1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 5 & pre-PBS equivalent,Main applicant,Other permit free employment,"1,392","1,055","1,789","1,753","1,328",838,"1,539","1,577","1,198",558,"1,226","1,363",783,944,"1,639","1,634",27,6,4,1,2,0,0,0,0,1,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 5 & pre-PBS equivalent,Dependant,Tier 5 - Dependant,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,59,140,298,258,279,313,369,317,286,346,385,299,288,319,480,283,351,388,606,353,422,430,558,416,492,457,661,468,577,463,715,525,564,480,761,478,570
Work,Non-PBS,Main applicant,Domestic workers in Private Households,"2,282","8,375","3,857","2,425","2,395","8,151","4,846","2,509","2,492","7,689","4,152","2,312","2,411","7,709","4,100","2,238","2,501","7,295","2,679","2,411","2,349","7,459","3,040","2,503","2,664","8,031","2,731","2,772","3,037","6,240","3,225","3,048","2,783","6,321","4,389","3,020","3,175","5,728","4,926","2,921","2,951","6,352","4,764","3,285","3,207","7,613","4,382","3,344","3,483","8,131","4,164","4,119","2,697"
Work,Non-PBS,Main applicant,UK Ancestry,"2,813","2,828","2,153","2,348","2,944","2,744","2,069","1,985","2,902","2,300","1,676","1,503","2,113","2,320","1,746","1,532","1,393","1,397","1,077","1,021","1,446","1,260","1,080",984,"1,296","1,259",919,880,"1,123",968,854,893,"1,096","1,210","1,029",825,"1,061","1,233","1,020","1,058","1,331","1,378","1,106","1,011","1,232","1,163",916,812,"1,000",919,"1,027",759,958
Work,Non-PBS,Main applicant,Other permit free employment - Non-PBS,74,84,72,63,102,95,95,75,77,78,77,86,73,58,71,82,82,114,212,113,109,147,137,97,141,196,171,144,142,200,187,150,129,218,187,199,205,183,207,174,172,174,163,144,147,151,147,180,178,165,171,182,184
Work,Non-PBS,Dependant,Domestic workers in Private Households,22,61,42,54,64,89,74,40,65,44,21,22,9,33,14,19,46,61,78,61,45,118,96,77,76,69,57,45,55,60,56,23,34,47,35,23,20,12,27,13,9,2,1,2,4,7,9,3,2,3,1,3,8
Work,Other,Main applicant,Other permit free employment not allocated,"6,152","13,079","5,380","3,284","8,814","11,834","5,328","2,772","6,127","7,691","5,405","2,636","3,378","5,019","5,158","2,114",304,245,225,182,145,305,194,195,161,173,224,107,89,149,124,97,87,210,171,116,138,183,166,143,175,193,218,126,160,233,205,166,121,163,178,124,200
Study,Tier 4 & pre-PBS equivalent,Main applicant,Tier 4 - General student,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5,"17,459","145,830","58,479","39,063","28,178","136,405","38,405","47,554","37,650","120,504","20,146","17,701","28,639","117,099","18,551","14,624","26,063","127,270","19,297","14,156","25,504","131,278","16,374","11,339","26,697","129,638","14,960","8,583","25,562","134,222","14,935","10,124","30,639","143,890","14,572","10,784"
Study,Tier 4 & pre-PBS equivalent,Main applicant,Tier 4 - Child student,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,516,"5,325",715,462,"1,111","5,829",939,671,"1,591","7,116",825,690,"1,622","7,566","1,089",766,"1,594","8,704","1,225",756,"1,322","9,599","1,226",738,"1,254","9,298","1,025",584,"1,352","8,287","1,006",613,"1,241","9,279",939,526
Study,Tier 4 & pre-PBS equivalent,Main applicant,Students,"22,829","37,332","90,517","23,486","25,806","36,510","101,207","26,077","27,766","34,549","104,567","26,757","29,238","31,297","115,277","31,850","32,293","6,627","3,550","2,401","1,470","1,001",732,191,"1,019",233,127,35,36,20,18,16,14,19,21,11,10,18,35,19,18,8,z,z,z,z,1,z,z,z,2,1,2
Study,Tier 4 & pre-PBS equivalent,Main applicant,Trainees - doctors & dentists,279,327,533,273,432,70,99,18,12,26,96,2,2,22,83,5,3,1,1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
Study,Tier 4 & pre-PBS equivalent,Dependant,Tier 4 - General student,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,"1,645","9,789","8,067","5,804","4,571","11,697","7,748","7,722","5,298","7,866","3,268","3,358","2,194","7,597","3,539","3,367","2,479","8,668","4,482","4,140","2,641","8,353","4,601","3,298","1,862","7,057","3,108","2,035","1,602","6,129","2,803","2,176","1,553","6,131","2,376","1,904"
Study,Tier 4 & pre-PBS equivalent,Dependant,Students,"3,227","3,163","5,902","3,716","4,004","3,991","7,978","4,922","3,849","3,581","7,781","4,066","4,740","4,881","9,721","4,859","5,315","2,214","1,794","1,332",765,475,447,251,140,46,44,15,7,6,1,z,8,z,9,4,z,1,8,z,z,z,11,z,z,z,z,z,z,z,z,z,z
Study,Non-PBS,Main applicant,Short-term study (previously Student Visitors),"2,683","6,257","5,447","1,447","2,915","12,638","5,783","1,879","3,167","15,445","10,045","4,487","5,949","16,479","14,137","5,673","5,914","14,274","11,954","5,561","6,967","17,377","16,464","8,383","8,913","21,322","21,091","10,080","12,868","24,951","18,648","11,884","14,033","27,908","22,815","12,845","15,816","26,599","20,217","10,975","10,979","21,981","18,240","11,408","13,226","39,630","22,056","12,441","15,755","53,204","24,404","13,571","17,601"
Family,Family,All,Family: Partner,"10,957","11,937","11,662","10,930","11,726","12,588","13,149","12,158","13,528","10,986","13,298","11,047","12,000","11,250","11,701","9,548","10,894","8,363","8,220","10,765","9,080","8,939","9,571","10,824","8,555","7,041","9,870","8,030","8,021","7,984","7,626","6,780","4,851","5,260","6,695","6,675","6,805","5,862","6,448","7,237","7,091","6,539","7,175","8,094","6,856","6,690","6,733","7,901","8,057","5,791","8,143","10,605","7,345"
Family,Family,All,Family: Partner (for immediate settlement),"1,016","1,112",946,788,815,910,948,845,911,539,245,174,127,171,152,150,110,143,477,584,674,495,529,354,309,392,397,238,318,306,241,232,362,151,289,279,176,140,146,130,157,105,187,173,210,208,195,145,139,73,100,78,57
Family,Family,All,Family: Child,19,17,20,29,17,17,32,30,25,45,30,24,21,26,35,22,15,16,16,16,23,30,29,25,21,33,26,17,19,11,32,23,14,22,24,13,16,21,13,6,12,10,9,1,7,8,8,13,13,8,6,5,143
Family,Family,All,Family: Child (for immediate settlement),"1,393","1,532","1,288","1,012","1,189","1,207","1,533","1,213","1,237","1,040","1,014",847,856,838,905,803,800,821,"1,252","1,324","1,248","1,446","1,579","1,318","1,340","1,088","1,220",948,"1,106","1,117",934,844,"1,014",885,"1,036",893,721,644,737,801,796,677,793,769,742,638,606,592,562,377,583,703,526
Family,Family,All,Family: Other,"2,211","2,304","1,644","1,572","1,435","1,165","1,339","1,338","1,108","1,084","1,277","1,028",940,777,921,994,946,"1,026","1,202","1,035","1,091","1,075","1,367","1,354","1,324",920,"1,131",931,922,871,795,"1,122",971,890,"1,209","1,141","1,562","1,049",891,"1,094",956,989,"1,465","1,477","1,596","1,375","1,731","1,396","1,316","1,106","1,379","1,513","1,904"
Family,Family,All,Family: Other (for immediate settlement),347,"1,001","1,398","1,189",935,"1,110","2,163","2,257","2,083","1,353",839,627,361,344,347,255,232,256,301,359,277,311,334,336,294,326,282,207,249,203,223,170,132,136,128,92,109,85,80,103,85,56,51,52,38,35,34,35,33,28,43,47,48
Dep. joining or accompanying,Dep. joining or accompanying,Dependant,Joining or accompanying: Partner,"2,995","3,396","2,916","2,402","2,654","3,193","3,115","2,208","3,234","5,160","5,260","4,796","5,548","5,680","4,776","2,892","1,898","1,840","1,381","1,182","1,183","1,457","1,323","1,115","1,053","1,186","1,197",807,770,"1,013","1,017",952,"1,053","1,229","1,196",901,848,"1,020","1,039",840,811,"1,029",762,557,542,629,694,574,612,569,787,525,500
Dep. joining or accompanying,Dep. joining or accompanying,Dependant,Joining or accompanying: Child,"3,855","4,989","4,478","3,390","3,234","4,740","4,902","3,513","4,645","6,429","7,021","5,543","6,232","6,647","6,127","3,555","2,883","3,014","2,511","2,717","2,116","2,800","2,617","2,682","2,563","2,389","2,775","2,116","1,767","2,261","2,096","1,773","1,488","2,026","2,169","1,647","1,621","1,947","2,104","1,629","1,495","1,938","1,717","1,467","1,202","1,405","1,592","1,363","1,445","1,243","2,006","1,722","1,006"
Dep. joining or accompanying,Dep. joining or accompanying,Dependant,Joining or accompanying: Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,26,9,9,16,19,20,25,9,21,14,21,20,6,4,2,3,4,2,5,2,5,5,2,3,3,6,4,4,7,9,0,6,10,11,3
Other,Other temporary visas,All,EEA family permits,"5,336","6,353","6,835","5,913","5,633","6,680","7,440","6,116","5,416","6,737","5,821","5,443","4,234","5,255","5,145","4,035","4,354","4,739","5,207","5,072","4,516","5,112","5,974","5,144","4,665","5,381","5,600","4,239","4,275","4,837","5,330","4,796","4,968","5,887","6,687","5,351","5,406","5,701","7,362","6,516","6,811","7,414","8,845","7,232","7,383","9,379","9,069","7,261","7,728","5,545","5,720","8,435","8,510"
Other,Other temporary visas,Main applicant,Visitors,"296,414","491,747","357,921","278,332","288,901","437,600","385,641","286,347","280,944","402,979","346,253","247,565","249,646","389,863","321,668","231,012","247,483","396,518","326,687","261,373","260,121","433,418","373,320","285,923","299,869","501,470","412,408","280,890","321,081","494,120","389,210","306,023","329,781","575,515","487,912","322,437","342,023","537,777","468,488","314,631","332,626","572,370","484,115","316,369","328,443","560,728","480,068","340,609","382,392","621,701","510,720","359,120","381,501"
Other,Other temporary visas,Dependant,Visitors,0,0,0,0,"14,296","69,055","47,549","21,466","25,412","65,402","42,252","17,810","22,435","67,242","39,094","16,952","22,135","58,917","33,844","18,644","24,939","70,908","46,412","23,659","30,989","88,420","46,061","23,539","34,537","84,843","39,033","27,221","37,754","104,245","55,080","28,300","36,965","96,367","58,002","24,573","34,193","95,951","55,403","22,791","27,810","91,714","47,041","26,355","35,018","104,414","53,532","29,480","34,759"
Other,Other temporary visas,All,Transit,"11,235","15,188","14,396","13,890","10,539","16,677","14,124","12,374","9,330","12,278","9,956","8,652","5,940","10,210","8,715","7,652","6,497","9,933","8,733","7,139","5,164","9,042","8,145","6,604","4,957","8,250","7,902","5,855","4,654","7,695","6,644","6,161","4,223","7,584","6,735","4,872","4,345","7,007","6,815","5,493","3,879","6,245","6,003","4,395","3,116","6,045","5,356","3,851","3,229","5,676","5,962","3,914","3,208"
Other,Other temporary visas,All,Other temporary,"1,289","1,636","1,825","2,201","1,729","2,114","1,893","1,375","1,328","1,940","1,725","1,646","1,582","2,474","2,231","1,520","2,404","2,385","2,471","2,106","2,107","2,040","2,286","1,819","2,280","2,232","2,726","1,914","1,976","2,552","2,763","2,035","2,164","3,265","2,255","1,989","1,950","3,281","3,218","2,466","2,654","2,887","3,014","4,970","3,396","4,540","4,644","4,363","4,603","5,280","5,255","4,318","5,472"
Other,Other settlement visas,Main applicant,Certificate of entitlement to right of abode,"1,609","1,847","1,783","1,375","1,677","1,903","1,826","1,333","1,070",911,772,555,580,702,560,356,464,626,575,373,509,561,613,392,585,590,537,378,389,484,353,317,357,439,495,327,331,352,377,348,369,506,445,426,401,487,358,297,369,434,393,342,334
Other,Other settlement visas,All,Other settlement (indefinite leave),663,763,721,523,565,434,703,630,836,385,431,286,457,340,404,373,441,506,"1,390",929,875,503,816,561,505,395,446,653,860,415,577,522,535,555,472,436,369,531,585,548,527,353,681,545,495,599,483,489,387,324,428,386,386